Месяц;arpu;aov
2017-01;177.97589385474862;170.36195187165777
2017-02;166.5383065512979;164.20413162705665
2017-03;165.21905502392346;162.75309897879026
2017-04;171.92268249780122;169.7577854971776
2017-05;162.98813398504888;159.90768124118478
2017-06;159.3711313394018;156.37180223285486
2017-07;148.9752577590742;146.28200671487605
2017-08;157.02494166261545;154.066446458383
2017-09;171.7236673199412;168.95059291395518
2017-10;170.05666062938647;167.7401228226887
2017-11;160.5949902534113;158.2592233809001
2017-12;154.71544403669725;152.94742789769637
2018-01;154.66114998566104;152.58266515773096
2018-02;151.0006202155913;147.4305933496034
2018-03;162.08822678623085;160.02827359702985
2018-04;167.99139234875443;166.65695057369814
2018-05;168.6592992678918;167.25984442139574
2018-06;166.97942390227797;165.93854166666665
2018-07;168.50633098245038;166.89134178037688
2018-08;156.16708082408874;155.15891670603054
